periodid,periodname,periodcode,perioddescription,organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,Cycle Beads,DMPA-IM,DMPA-SC,Hormonal IUCD,Non-Hormonal IUCD,Implanon,Male Condoms,Female Condoms,EC Pills,COCs,POPs,Type
202002,Feb-20,202002,,Y52XNJ50hYb,Meru County,KE_County_12,,19.0,6358.0,,,116.0,546.0,75923.0,1692.0,153.0,4377.0,869.0,Consumption
202002,Feb-20,202002,,fVra3Pwta0Q,Migori County,KE_County_44,,18.0,4746.0,,,1427.0,3254.0,134123.0,907.0,361.0,1712.0,116.0,Consumption
202002,Feb-20,202002,,wsBsC6gjHvn,Mombasa County,KE_County_1,,5.0,4986.0,,,239.0,288.0,26779.0,456.0,33.0,2609.0,382.0,Consumption
202002,Feb-20,202002,,ahwTMNAJvrL,Muranga County,KE_County_21,,1.0,2757.0,,,151.0,89.0,6078.0,559.0,74.0,4442.0,641.0,Consumption
202002,Feb-20,202002,,jkG3zaihdSs,Nairobi County,KE_County_47,,162.0,18081.0,,,3218.0,2378.0,472292.0,38555.0,297.0,13357.0,4543.0,Consumption
202002,Feb-20,202002,,ob6SxuRcqU4,Nakuru County,KE_County_32,,9.0,12489.0,,,7734.0,769.0,419356.0,1350.0,326.0,6067.0,2420.0,Consumption
202003,Mar-20,202003,,vvOK1BxTbet,Baringo County,KE_County_30,,1.0,2218.0,,,241.0,84.0,28299.0,145.0,23.0,681.0,77.0,Consumption
202003,Mar-20,202003,,HMNARUV2CW4,Bomet County,KE_County_36,,,5567.0,,,20.0,789.0,24609.0,293.0,9.0,1628.0,184.0,Consumption
202003,Mar-20,202003,,KGHhQ5GLd4k,Bungoma County,KE_County_39,,7.0,10225.0,,,111.0,503.0,116288.0,604.0,176.0,2330.0,618.0,Consumption
202003,Mar-20,202003,,Tvf1zgVZ0K4,Busia County,KE_County_40,,1.0,4782.0,,,231.0,416.0,22762.0,20.0,26.0,1858.1,430.0,Consumption
202003,Mar-20,202003,,MqnLxQBigG0,Elgeyo Marakwet County,KE_County_28,,9.0,3963.0,,,6.0,238.0,16649.0,3.0,57.0,628.0,15.0,Consumption
202003,Mar-20,202003,,PFu8alU2KWG,Embu County,KE_County_14,,,4346.0,,,78.0,21.0,31185.0,178.0,28.0,3963.0,958.0,Consumption
202003,Mar-20,202003,,uyOrcHZBpW0,Garissa County,KE_County_7,,,509.0,,,63.0,78.0,1761.0,120.0,,252.0,131.0,Consumption
202003,Mar-20,202003,,nK0A12Q7MvS,Homa Bay County,KE_County_43,,14.0,7769.0,,,212.0,667.0,58966.0,1636.0,58.0,1444.0,367.0,Consumption
202003,Mar-20,202003,,bzOfj0iwfDH,Isiolo County,KE_County_11,,,536.0,,,2.0,56.0,15534.0,115.0,23.0,334.0,18.0,Consumption
202003,Mar-20,202003,,Hsk1YV8kHkT,Kajiado County,KE_County_34,,,6224.0,,,192.0,291.0,21037.0,287.0,54.0,2381.0,606.0,Consumption
202003,Mar-20,202003,,BjC1xL40gHo,Kakamega County,KE_County_37,,118.0,8204.0,,,315.0,620.0,91193.0,279.0,208.0,7048.0,427.0,Consumption
202003,Mar-20,202003,,ihZsJ8alvtb,Kericho County,KE_County_35,,,3417.0,,,35.0,95.0,61806.0,12.0,9.0,1036.0,502.0,Consumption
202003,Mar-20,202003,,qKzosKQPl6G,Kiambu County,KE_County_22,,8.0,6526.0,,,610.0,545.0,38805.0,948.0,367.0,7691.0,3835.0,Consumption
202003,Mar-20,202003,,nrI2khZx3d0,Kilifi County,KE_County_3,,3.0,10002.0,,,130.0,843.0,72250.0,458.0,132.0,2953.0,370.0,Consumption
202003,Mar-20,202003,,Ulj33KBau7V,Kirinyaga County,KE_County_20,,1.0,3483.0,,,187.0,14.0,8956.0,250.0,47.0,5531.0,1110.0,Consumption
202003,Mar-20,202003,,sPkRcDvhGWA,Kisii County,KE_County_45,,,5534.0,,,133.0,597.0,67610.0,1442.0,62.0,1690.0,398.0,Consumption
202003,Mar-20,202003,,tAbBVBbueqD,Kisumu County,KE_County_42,,5.0,4635.0,,,242.0,824.0,39331.0,730.0,47.0,12083.0,877.0,Consumption
202003,Mar-20,202003,,j8o6iO4Njsi,Kitui County,KE_County_15,,,9755.0,,,45.0,810.0,21058.0,101.0,78.0,2305.0,246.0,Consumption
202003,Mar-20,202003,,N7YETT3A9r1,Kwale County,KE_County_2,,,3888.0,,,18.0,422.0,53967.0,,11.0,947.0,103.0,Consumption
202003,Mar-20,202003,,xuFdFy6t9AH,Laikipia County,KE_County_31,,2.0,2151.0,,,139.0,198.0,229959.0,1309.0,19.0,2381.0,568.0,Consumption
202003,Mar-20,202003,,NjWSbQTwys4,Lamu County,KE_County_5,,10.0,871.0,,,86.0,14.0,10739.0,1.0,3.0,481.0,77.0,Consumption
202003,Mar-20,202003,,yhCUgGcCcOo,Machakos County,KE_County_16,,425.0,10392.0,,,718.0,156.0,24592.0,316.0,88.0,5986.0,1027.0,Consumption
202003,Mar-20,202003,,BoDytkJQ4Qi,Makueni County,KE_County_17,,4.0,7898.0,,,341.0,758.0,20759.0,260.0,37.0,2116.0,255.0,Consumption
202003,Mar-20,202003,,R6f9znhg37c,Mandera County,KE_County_9,,10.0,62.0,,,5.0,8.0,852.0,,15.0,457.0,488.0,Consumption
202003,Mar-20,202003,,Eey8fT4Im3y,Marsabit County,KE_County_10,,,370.0,,,,44.0,10123.0,4.0,47.0,1024.0,72.0,Consumption
202003,Mar-20,202003,,JsH2bnvNt2d,Tana River County,KE_County_4,,,615.0,,,11.0,69.0,4460.0,,,199.0,35.0,Consumption
202003,Mar-20,202003,,XWALbfAPa6n,West Pokot County,KE_County_24,,,1431.0,,,12.0,15.0,2214.0,8.0,,1206.0,139.0,Consumption
202003,Mar-20,202003,,CeLsrJOH0g9,Wajir County,KE_County_8,,2.0,405.0,,,,8.0,2292.0,,3.0,473.0,97.0,Consumption
202003,Mar-20,202003,,sANMZ3lpqGs,Vihiga County,KE_County_38,,,2129.0,,,105.0,150.0,56949.0,33.0,9.0,1098.0,242.0,Consumption
202003,Mar-20,202003,,pZqQRRW7PHP,Uasin Gishu County,KE_County_27,,65.0,7685.0,,,304.0,535.0,67952.0,233.0,65.0,3001.0,482.0,Consumption
202003,Mar-20,202003,,kphDeKClFch,Turkana County,KE_County_23,,44.0,1666.0,,,7.0,447.0,33012.0,1778.0,95.0,627.0,110.0,Consumption
202003,Mar-20,202003,,mThvosEflAU,Trans Nzoia County,KE_County_26,,2.0,3610.0,,,68.0,133.0,53344.0,458.0,34.0,2319.0,3035.0,Consumption
202003,Mar-20,202003,,T4urHM47nlm,Tharaka Nithi County,KE_County_13,,,4036.0,,,22.0,13.0,23073.0,15.0,24.0,1836.0,334.0,Consumption
202003,Mar-20,202003,,QyGNX2DpR4h,Taita Taveta County,KE_County_6,,2.0,1880.0,,,261.0,28.0,21262.0,,4.0,2853.0,652.0,Consumption
202003,Mar-20,202003,,u4t9H8XyU9P,Siaya County,KE_County_41,,,4281.0,,,244.0,578.0,135919.0,511.0,60.0,1465.0,204.0,Consumption
